COG	Protein name	Pathway	Letter	Function
COG2704	Anaerobic C4-dicarboxylate transporter		G	Carbohydrate Transport and Metabolism
COG2706	6-phosphogluconolactonase, cycloisomerase 2 family		G	Carbohydrate Transport and Metabolism
COG2707	Uncharacterized membrane protein, DUF441 family		S	Function Unknown
COG2710	Nitrogenase Mo-Fe protein NifD/coenzyme F430 biosynthesis subunit CfbD		H	Coenzyme Transport and Metabolism
COG2710	Nitrogenase Mo-Fe protein NifD/coenzyme F430 biosynthesis subunit CfbD		P	Inorganic Ion Transport and Metabolism
COG2715	Spore maturation protein SpmA (function unknown)		R	General Function Prediction Only
COG2716	Glycine cleavage system regulator GcvR		E	Amino Acid Transport and Metabolism
COG2717	Heme-binding membrane subunit of periplasmic DMSO/TMAO and protein-methionine-sulfoxide reductases		C	Energy Production and Conversion
COG2718	Uncharacterized conserved protein YeaH/YhbH, required for sporulation, DUF444 family		R	General Function Prediction Only
COG2719	Stage V sporulation protein SpoVR/YcgB, involved in spore cortex formation (function unknown)		D	Cell Cycle Control, Cell Division, Chromosome Partitioning
COG2720	Vancomycin resistance protein YoaR (function unknown), contains peptidoglycan-binding and VanW domains		V	Defense Mechanisms
COG2721	Altronate dehydratase		G	Carbohydrate Transport and Metabolism
COG2723	Beta-glucosidase/6-phospho-beta-glucosidase/beta-galactosidase		G	Carbohydrate Transport and Metabolism
COG2730	Aryl-phospho-beta-D-glucosidase BglC, GH1 family		G	Carbohydrate Transport and Metabolism
COG2731	Beta-galactosidase, beta subunit		G	Carbohydrate Transport and Metabolism
COG2732	Barstar, RNAse (barnase) inhibitor		K	Transcription
COG2733	Uncharacterized membrane-anchored protein YjiN, DUF445 family		S	Function Unknown
COG2738	Zn-dependent membrane protease YugP		O	Post-translational Modification, Protein Turnover, Chaperones
COG2739	Predicted DNA-binding protein YlxM, UPF0122 family		K	Transcription
COG2740	Nucleoid-associated protein YlxR, Predicted RNA-binding, DUF448 family		R	General Function Prediction Only
COG2746	Aminoglycoside N3'-acetyltransferase		V	Defense Mechanisms
COG2747	Negative regulator of flagellin synthesis (anti-sigma28 factor)		K	Transcription
COG2747	Negative regulator of flagellin synthesis (anti-sigma28 factor)		N	Cell Motility
COG2755	Lysophospholipase L1 or related esterase. Includes spore coat protein LipC/YcsK		D	Cell Cycle Control, Cell Division, Chromosome Partitioning
COG2755	Lysophospholipase L1 or related esterase. Includes spore coat protein LipC/YcsK		I	Lipid Transport and Metabolism
COG2759	Formyltetrahydrofolate synthetase		F	Nucleotide Transport and Metabolism
COG2761	Predicted dithiol-disulfide isomerase, DsbA/YjbH family (virulence, stress resistance)		O	Post-translational Modification, Protein Turnover, Chaperones
COG2764	Zn-dependent glyoxalase, PhnB family		C	Energy Production and Conversion
COG2766	Predicted Ser/Thr protein kinase		T	Signal Transduction Mechanisms
COG2768	Uncharacterized Fe-S cluster protein		S	Function Unknown
COG2770	HAMP domain		T	Signal Transduction Mechanisms
COG2771	DNA-binding transcriptional regulator, CsgD family		K	Transcription
COG2801	Transposase InsO and inactivated derivatives		X	Mobilome: Prophages, Transposons
COG2802	Uncharacterized conserved protein, LON_N-like domain, ASCH/PUA-like superfamily		S	Function Unknown
COG2804	Type II secretory pathway ATPase GspE/PulE or T4P pilus assembly pathway ATPase PilB		N	Cell Motility
COG2804	Type II secretory pathway ATPase GspE/PulE or T4P pilus assembly pathway ATPase PilB		U	Intracellular Trafficking, Secretion, and Vesicular Transport
COG2804	Type II secretory pathway ATPase GspE/PulE or T4P pilus assembly pathway ATPase PilB		W	Extracellular Structures
COG2805	Type IV pilus assembly protein PilT, pilus retraction ATPase		N	Cell Motility
COG2805	Type IV pilus assembly protein PilT, pilus retraction ATPase		W	Extracellular Structures
COG2807	Cyanate permease		P	Inorganic Ion Transport and Metabolism
COG2808	Predicted FMN-binding regulatory protein PaiB		T	Signal Transduction Mechanisms
COG2810	Predicted type IV restriction endonuclease		V	Defense Mechanisms
COG2811	Archaeal/vacuolar-type H+-ATPase subunit H	A/V-type ATP synthase	C	Energy Production and Conversion
COG2812	DNA polymerase III, gamma/tau subunits		L	Replication, Recombination and Repair
COG2813	16S rRNA G1207 methylase RsmC	16S rRNA modification	J	Translation, Ribosomal Structure and Biogenesis
COG2814	Predicted arabinose efflux permease AraJ, MFS family		G	Carbohydrate Transport and Metabolism
COG2815	PASTA domain, binds beta-lactams		M	Cell Wall/Membrane/Envelope Biogenesis
COG2816	NADH pyrophosphatase NudC, Nudix superfamily		F	Nucleotide Transport and Metabolism
COG2818	3-methyladenine DNA glycosylase Tag		L	Replication, Recombination and Repair
COG2819	Predicted hydrolase of the alpha/beta superfamily		R	General Function Prediction Only
COG2820	Uridine phosphorylase	Pyrimidine salvage	F	Nucleotide Transport and Metabolism
COG2821	Membrane-bound lytic murein transglycosylase		M	Cell Wall/Membrane/Envelope Biogenesis
COG2822	Iron uptake system EfeUOB, periplasmic (or lipoprotein) component EfeO/EfeM		P	Inorganic Ion Transport and Metabolism
COG2823	Osmotically-inducible protein OsmY, contains BON domain		M	Cell Wall/Membrane/Envelope Biogenesis
COG2824	Uncharacterized Zn-ribbon-containing protein		R	General Function Prediction Only
COG2825	Periplasmic chaperone for outer membrane proteins, Skp family		M	Cell Wall/Membrane/Envelope Biogenesis
COG2825	Periplasmic chaperone for outer membrane proteins, Skp family		O	Post-translational Modification, Protein Turnover, Chaperones
COG2826	Transposase and inactivated derivatives, IS30 family		X	Mobilome: Prophages, Transposons
COG2827	Predicted endonuclease, GIY-YIG superfamily		L	Replication, Recombination and Repair
COG2828	2-Methylaconitate cis-trans-isomerase PrpF (2-methyl citrate pathway)		C	Energy Production and Conversion
COG2829	Outer membrane phospholipase A		M	Cell Wall/Membrane/Envelope Biogenesis
COG2830	Uncharacterized conserved protein, DUF452 domain		S	Function Unknown
COG2831	Hemolysin activation/secretion protein		U	Intracellular Trafficking, Secretion, and Vesicular Transport
COG2832	Uncharacterized membrane protein YbaN, DUF454 family		S	Function Unknown
COG2833	Uncharacterized protein, contains ferritin-like DUF455 domain		S	Function Unknown
COG2834	Outer membrane lipoprotein-sorting protein		M	Cell Wall/Membrane/Envelope Biogenesis
COG2835	RNA methyltransferase activator Trm112/YbaR		J	Translation, Ribosomal Structure and Biogenesis
COG2836	Uncharacterized membrane protein, DsbD domain		S	Function Unknown
COG2837	Periplasmic deferrochelatase/peroxidase EfeB		P	Inorganic Ion Transport and Metabolism
COG2838	Monomeric isocitrate dehydrogenase	TCA cycle	C	Energy Production and Conversion
COG2839	Uncharacterized conserved protein YqgC, DUF456 family		S	Function Unknown
COG2840	DNA-nicking endonuclease, Smr domain		L	Replication, Recombination and Repair
COG2841	Uncharacterized conserved protein YdcH, DUF465 family		S	Function Unknown
COG2842	Bacteriophage DNA transposition protein, AAA+ family ATPase		X	Mobilome: Prophages, Transposons
COG2843	Poly-gamma-glutamate biosynthesis protein CapA/YwtB (capsule formation), metallophosphatase superfamily		M	Cell Wall/Membrane/Envelope Biogenesis
COG2844	UTP:GlnB (protein PII) uridylyltransferase		O	Post-translational Modification, Protein Turnover, Chaperones
COG2844	UTP:GlnB (protein PII) uridylyltransferase		T	Signal Transduction Mechanisms
COG2845	Uncharacterized conserved protein, DUF459 domain		S	Function Unknown
COG2846	Iron-sulfur cluster repair protein YtfE, RIC family, contains ScdAN and hemerythrin domains		O	Post-translational Modification, Protein Turnover, Chaperones
COG2847	Copper(I)-binding protein		P	Inorganic Ion Transport and Metabolism
COG2848	Uncharacterized conserved protein, UPF0210 family		D	Cell Cycle Control, Cell Division, Chromosome Partitioning
COG2849	Antitoxin component YwqK of the YwqJK toxin-antitoxin module		V	Defense Mechanisms
COG2850	Ribosomal protein L16 Arg81 hydroxylase, contains JmjC domain		J	Translation, Ribosomal Structure and Biogenesis
COG2851	Mg2+/citrate symporter		C	Energy Production and Conversion
COG2852	Very-short-patch-repair endonuclease		L	Replication, Recombination and Repair
COG2853	Lipoprotein subunit MlaA of the ABC-type intermembrane phospholipid transporter Mla		M	Cell Wall/Membrane/Envelope Biogenesis
COG2854	Periplasmic subunit MlaC of the ABC-type intermembrane phospholipid transporter Mla		M	Cell Wall/Membrane/Envelope Biogenesis
COG2855	Uncharacterized membrane protein YadS, UPF0324 family		S	Function Unknown
COG2856	Zn-dependent peptidase ImmA, M78 family		O	Post-translational Modification, Protein Turnover, Chaperones
COG2857	Cytochrome c1		C	Energy Production and Conversion
COG2859	Outer membrane channel-forming protein BP26/OMP28, SIMPL family		M	Cell Wall/Membrane/Envelope Biogenesis
COG2860	Uncharacterized membrane protein YeiH		S	Function Unknown
COG2861	Uncharacterized conserved protein YibQ, putative polysaccharide deacetylase 2 family		G	Carbohydrate Transport and Metabolism
COG2862	Uncharacterized membrane protein YqhA		S	Function Unknown
COG2863	Cytochrome c553		C	Energy Production and Conversion
COG2864	Cytochrome b subunit of formate dehydrogenase		C	Energy Production and Conversion
COG2865	Predicted transcriptional regulator, contains HTH domain		K	Transcription
COG2866	Murein tripeptide amidase MpaA		M	Cell Wall/Membrane/Envelope Biogenesis
COG2867	Ribosome association toxin PasT (RatA) of the RatAB toxin-antitoxin module		J	Translation, Ribosomal Structure and Biogenesis
COG2868	Uncharacterized conserved protein YsxB, DUF464 family		S	Function Unknown
COG2869	Na+-transporting NADH:ubiquinone oxidoreductase, subunit NqrC	Na+-translocating NADH dehydrogenase	C	Energy Production and Conversion
COG2870	ADP-heptose synthase, bifunctional sugar kinase/adenylyltransferase		M	Cell Wall/Membrane/Envelope Biogenesis
COG2871	Na+-transporting NADH:ubiquinone oxidoreductase, subunit NqrF	Na+-translocating NADH dehydrogenase	C	Energy Production and Conversion
COG2872	Ser-tRNA(Ala) deacylase AlaX (editing enzyme)		J	Translation, Ribosomal Structure and Biogenesis
COG2873	O-acetylhomoserine/O-acetylserine sulfhydrylase, pyridoxal phosphate-dependent	Methionine biosynthesis	E	Amino Acid Transport and Metabolism
COG2874	Archaellum biogenesis ATPase ArlH/FlaH		N	Cell Motility
COG2875	Precorrin-4 methylase	Cobalamine/B12 biosynthesis	H	Coenzyme Transport and Metabolism
COG2876	3-deoxy-D-arabino-heptulosonate 7-phosphate (DAHP) synthase	Aromatic amino acid biosynthesis	E	Amino Acid Transport and Metabolism
COG2877	3-deoxy-D-manno-octulosonic acid (KDO) 8-phosphate synthase	Lipid A biosynthesis	M	Cell Wall/Membrane/Envelope Biogenesis
COG2878	Na+-translocating ferredoxin:NAD+ oxidoreductase RNF, RnfB subunit	Na+-translocating Fd:NADH oxidoreductase	C	Energy Production and Conversion
COG2879	Uncharacterized short protein YbdD, DUF466 family		S	Function Unknown
COG2880	Predicted DNA-binding protein, potential antitoxin AbrB/MazE fold		R	General Function Prediction Only
COG2881	GTPase-interacting Yip1 domain		R	General Function Prediction Only
COG2882	Flagellar biosynthesis chaperone FliJ		N	Cell Motility
COG2884	Cell division ATPase FtsE		D	Cell Cycle Control, Cell Division, Chromosome Partitioning
COG2885	Outer membrane protein OmpA and related peptidoglycan-associated (lipo)proteins		M	Cell Wall/Membrane/Envelope Biogenesis
COG2886	Predicted antitoxin, contains HTH domain		R	General Function Prediction Only
COG2887	RecB family exonuclease		L	Replication, Recombination and Repair
COG2888	Predicted RNA-binding protein involved in translation, contains  Zn-ribbon domain, DUF1610 family		R	General Function Prediction Only
COG2890	Methylase of polypeptide chain release factors		J	Translation, Ribosomal Structure and Biogenesis
COG2891	Cell shape-determining protein MreD		M	Cell Wall/Membrane/Envelope Biogenesis
COG2892	tRNA threonylcarbamoyladenosine modification (KEOPS) complex,  Pcc1 subunit	tRNA modification	J	Translation, Ribosomal Structure and Biogenesis
COG2893	Phosphotransferase system, mannose/fructose-specific component IIA		G	Carbohydrate Transport and Metabolism
COG2894	Septum site-determining ATPase MinD		D	Cell Cycle Control, Cell Division, Chromosome Partitioning
COG2895	Sulfate adenylyltransferase subunit 1, EFTu-like GTPase family	Cysteine biosynthesis	P	Inorganic Ion Transport and Metabolism
COG2896	GTP 3',8-cyclase (molybdenum cofactor biosynthesis protein MoaA)	Molybdopterin biosynthesis	H	Coenzyme Transport and Metabolism
COG2897	3-mercaptopyruvate sulfurtransferase SseA, contains two rhodanese domains		P	Inorganic Ion Transport and Metabolism
COG2898	Lysylphosphatidylglycerol synthetase MprF, lysyl-tRNA-binding C-terminal domain		I	Lipid Transport and Metabolism
COG2899	Uncharacterized TerC-related membrane protein, DUF475 domain		P	Inorganic Ion Transport and Metabolism
COG2900	Uncharacterized coiled-coil protein SlyX (sensitive to lysis X)		S	Function Unknown
COG2901	DNA-binding protein Fis (factor for inversion stimulation)		K	Transcription
COG2902	NAD-specific glutamate dehydrogenase		E	Amino Acid Transport and Metabolism
COG2904	NADPH-dependent 7-cyano-7-deazaguanine reductase QueF, N-terminal domain		J	Translation, Ribosomal Structure and Biogenesis
COG2905	Signal-transduction protein containing cAMP-binding, CBS, and nucleotidyltransferase domains		T	Signal Transduction Mechanisms
COG2906	Bacterioferritin-associated ferredoxin		P	Inorganic Ion Transport and Metabolism
COG2907	Predicted flavin-containing amine oxidase		R	General Function Prediction Only
COG2908	UDP-2,3-diacylglucosamine pyrophosphatase LpxH		M	Cell Wall/Membrane/Envelope Biogenesis
COG2909	ATP-, maltotriose- and DNA-dependent transcriptional regulator MalT		K	Transcription
COG2910	Putative NADH-flavin reductase		R	General Function Prediction Only
COG2911	Autotransporter translocation and assembly protein TamB		U	Intracellular Trafficking, Secretion, and Vesicular Transport
COG2912	Regulator of sirC expression, contains transglutaminase-like and TPR domains		T	Signal Transduction Mechanisms
COG2913	Outer membrane protein assembly factor BamE, lipoprotein component of the BamABCDE complex		M	Cell Wall/Membrane/Envelope Biogenesis
COG2914	Putative antitoxin component PasI (RatB) of the RatAB toxin-antitoxin module, ubiquitin-RnfH superfamily		V	Defense Mechanisms
COG2915	Regulator of phage lambda lysogenization HflD, binds to CII and stimulates its degradation		X	Mobilome: Prophages, Transposons
